frame,joint,x,y,visibility
0,head,201.44803047180176,194.81577730178833,0.9993684887886047
0,left_shoulder,270.3263282775879,271.68356841802597,0.9999560117721558
0,right_shoulder,138.0298089981079,264.75422924757004,0.9999351501464844
0,left_elbow,281.89433097839355,380.6443854570389,0.9865378141403198
0,right_elbow,119.86690521240234,372.24890542030334,0.9839703440666199
0,left_wrist,270.31886100769043,474.01994132995605,0.9824338555335999
0,right_wrist,118.13414096832275,465.182221531868,0.994461178779602
0,left_hip,239.56375122070312,477.96070075035095,0.9999743700027466
0,right_hip,164.2448902130127,476.1489328145981,0.9999750852584839
0,left_knee,231.02381229400635,615.0341567993164,0.9929130673408508
0,right_knee,175.1733684539795,613.2081871032715,0.9842389822006226
0,left_ankle,227.6546287536621,717.7771224975586,0.9936297535896301
0,right_ankle,179.6128749847412,709.8930076360703,0.9919454455375671
1,head,201.45179271697998,194.01877349615097,0.9993928074836731
1,left_shoulder,270.1941204071045,270.3990217447281,0.9999566078186035
1,right_shoulder,138.20221424102783,264.5939376950264,0.9999363422393799
1,left_elbow,281.8790531158447,380.1653941869736,0.9861165285110474
1,right_elbow,119.85653400421143,371.9833986759186,0.9838950634002686
1,left_wrist,270.3117084503174,473.1380578279495,0.9818275570869446
1,right_wrist,118.0554986000061,464.90465092658997,0.9944754838943481
1,left_hip,239.3229103088379,478.2429543733597,0.9999747276306152
1,right_hip,164.20952796936035,476.9232087135315,0.999975323677063
1,left_knee,230.6822633743286,615.3813109397888,0.9930795431137085
1,right_knee,175.28348922729492,612.9256789684296,0.9845398664474487
1,left_ankle,227.55884170532227,718.0484830141068,0.993748664855957
1,right_ankle,180.70685863494873,709.8191992044449,0.9920181632041931
2,head,201.4858102798462,193.55614733695984,0.9994135499000549
2,left_shoulder,270.0211715698242,269.6195792555809,0.9999569654464722
2,right_shoulder,138.3460521697998,264.47014313936234,0.9999370574951172
2,left_elbow,281.85118675231934,379.8520392179489,0.9857083559036255
2,right_elbow,119.85608339309692,371.7524037361145,0.9838597774505615
2,left_wrist,270.3064155578613,472.5405658483505,0.9812507033348083
2,right_wrist,118.00367832183838,464.68373465538025,0.9944821000099182
2,left_hip,239.2059087753296,478.39861381053925,0.9999749660491943
2,right_hip,164.19294834136963,477.4216955900192,0.9999755024909973
2,left_knee,230.54140090942383,615.6267621517181,0.9932548999786377
2,right_knee,175.38050651550293,612.7409542798996,0.9848459362983704
2,left_ankle,227.44362831115723,718.2582007646561,0.9938710927963257
2,right_ankle,181.312837600708,709.7793426513672,0.9921084642410278
3,head,201.50128841400146,193.0612490773201,0.9994344711303711
3,left_shoulder,269.90344047546387,269.22129368782043,0.9999573826789856
3,right_shoulder,138.49868774414062,264.42481458187103,0.9999377131462097
3,left_elbow,281.8019485473633,379.7150864005089,0.9854274392127991
3,right_elbow,119.86948728561401,371.6621283888817,0.98384690284729
3,left_wrist,270.3028678894043,472.16042697429657,0.9809306859970093
3,right_wrist,117.98907279968262,464.50868141651154,0.9945120215415955
3,left_hip,239.09591674804688,478.62151527404785,0.9999752044677734
3,right_hip,164.17834281921387,477.83777153491974,0.9999756217002869
3,left_knee,230.35115718841553,615.7986594438553,0.993391752243042
3,right_knee,175.40594100952148,612.3569468259811,0.9850993156433105
3,left_ankle,227.3243522644043,718.556743144989,0.9939752221107483
3,right_ankle,181.86542987823486,709.7371445894241,0.9921899437904358
4,head,201.54723644256592,192.48051670193672,0.9994553923606873
4,left_shoulder,269.78848457336426,268.88963931798935,0.9999580383300781
4,right_shoulder,138.72479438781738,264.33779698610306,0.999938428401947
4,left_elbow,281.7722225189209,379.59722197055817,0.9853196144104004
4,right_elbow,119.92106437683105,371.5337526202202,0.9838777184486389
4,left_wrist,270.2976894378662,471.9783492088318,0.9809116125106812
4,right_wrist,117.98436641693115,463.9783296585083,0.9945584535598755
4,left_hip,238.9684009552002,478.70738756656647,0.9999755024909973
4,right_hip,164.1473150253296,477.9750552177429,0.9999758005142212
4,left_knee,230.2342700958252,615.801509976387,0.9934484958648682
4,right_knee,175.41366577148438,611.6329115629196,0.9852004647254944
4,left_ankle,227.12591171264648,718.7765904664993,0.9940232038497925
4,right_ankle,182.07339763641357,709.7336832284927,0.9922012090682983
5,head,201.60547256469727,192.17531883716583,0.9994712471961975
5,left_shoulder,269.70608711242676,268.60181188583374,0.9999585151672363
5,right_shoulder,138.90292167663574,264.3155526518822,0.9999392032623291
5,left_elbow,281.7568588256836,379.4541099667549,0.9851752519607544
5,right_elbow,120.00722408294678,371.45729726552963,0.9839106798171997
